"species","ID","Asat","Phi","Rd","theta","resid_SSs","LCP","Q_sat_75","Q_sat_85","individual","plant_group","canopy","canopyplant"
"age_alt","age_alt-1",6.985916458,0.065044082,0.052506574,0.834470337,0.255336385,0.808257911,123.4312469,183.850464,"1","Angiosperm","Closed","Closed.Angiosperm"
"age_alt","age_alt-2",6.069296599,0.074855195,0.07928366,0.615107609,0.040639163,1.064556241,138.56044,239.731669,"2","Angiosperm","Closed","Closed.Angiosperm"
"age_alt","age_alt-3",5.46817148,0.076491941,0.184452484,0.634094151,0.044783025,2.442199903,130.3180073,238.8773232,"3","Angiosperm","Closed","Closed.Angiosperm"
"age_alt","age_alt-4",7.141275565,0.07193286,0.231384743,-0.38213425,0.077398743,3.365551341,463.6863129,996.1068968,"4","Angiosperm","Closed","Closed.Angiosperm"
"age_alt","age_alt-5",6.069425041,0.061441298,0.106596055,0.714835564,0.10857776,1.743769529,147.2240911,245.7951777,"5","Angiosperm","Closed","Closed.Angiosperm"
"ath_fil","ath_fil-1",4.722738297,0.060949618,0.100071725,0.676344442,0.051878009,1.65337998,124.9419421,215.2725423,"1","Fern","Open","Open.Fern"
"ath_fil","ath_fil-2",7.32642294,0.061764543,0.319373091,0.744458172,0.053691002,5.231042061,186.6221717,333.463815,"2","Fern","Open","Open.Fern"
"ath_fil","ath_fil-3",5.533870666,0.067254252,0.273406741,0.571725012,0.018109743,4.15576003,178.0436002,357.3873581,"3","Fern","Open","Open.Fern"
"ath_fil","ath_fil-4",5.091349205,0.06801694,0.186165468,0.553000771,0.020692145,2.783479246,155.8675084,298.2076283,"4","Fern","Open","Open.Fern"
"ath_fil","ath_fil-5",4.32889712,0.05927406,0.07844434,0.757091949,0.027801089,1.329350562,101.2364135,164.7776084,"5","Fern","Open","Open.Fern"
"den_den","den_den-1",3.149759034,0.068017096,0.751413114,0.407590935,0.15917807,13.097866,2389.696374,-316.6525311,"1","Lycophyte","Closed","Closed.Lycophyte"
"den_den","den_den-2",4.632131521,0.070774978,0.51047466,-0.322359144,0.345762412,8.393905104,514.3930707,2067.897764,"2","Lycophyte","Closed","Closed.Lycophyte"
"den_den","den_den-3",2.363262083,0.063656146,0.251430369,0.103875857,0.053649419,4.371229959,201.697738,733.316292,"3","Lycophyte","Closed","Closed.Lycophyte"
"den_den","den_den-4",3.224274885,0.069342861,0.778288551,0.392604094,0.082374989,13.3929621,3267.782718,-317.3711936,"4","Lycophyte","Closed","Closed.Lycophyte"
"den_den","den_den-5",1.988380897,0.049780274,0.149133647,0.964069352,0.138703225,3.004566295,38.53515341,53.3212113,"5","Lycophyte","Closed","Closed.Lycophyte"
"dip_dig","dip_dig-1",3.762112116,0.102154511,1.106121508,0.17317524,0.069027594,14.55643406,-715.5846626,-234.5887815,"1","Lycophyte","Closed","Closed.Lycophyte"
"dip_dig","dip_dig-2",3.175058428,0.09764451,0.362498165,-0.21900579,0.03972343,4.295694926,246.028613,1059.787369,"2","Lycophyte","Closed","Closed.Lycophyte"
"dip_dig","dip_dig-4",3.871301209,0.077829863,1.084510549,0.524969192,0.152663297,16.51033327,-780.6521242,-175.6768594,"4","Lycophyte","Closed","Closed.Lycophyte"
"dip_dig","dip_dig-5",2.306328674,0.103658864,0.521167226,-0.778462931,0.147492743,7.638163123,1590.375952,-579.0429494,"5","Lycophyte","Closed","Closed.Lycophyte"
"dry_int","dry_int-1",4.71236128,0.059918519,0.673035872,0.613938704,0.023231322,11.95505993,296.038676,4248.353957,"1","Fern","Closed","Closed.Fern"
"dry_int","dry_int-2",4.430899944,0.085746637,0.740251416,0.485557758,0.099671236,9.523798179,316.9628834,-1558.776781,"2","Fern","Closed","Closed.Fern"
"dry_int","dry_int-3",5.675523484,0.075057064,0.463189295,0.501102973,0.013967652,6.444754373,217.8200713,549.2001126,"3","Fern","Closed","Closed.Fern"
"dry_int","dry_int-4",5.284308707,0.062172253,0.629101268,0.347917013,0.025569505,11.01036078,393.5200306,1764.024768,"4","Fern","Closed","Closed.Fern"
"dry_int","dry_int-5",3.525737373,0.044890828,0.723197328,0.804186011,0.171782694,16.92417979,387.6184615,-227.7542125,"5","Fern","Closed","Closed.Fern"
"eup_pur","eup_pur-1",14.90717542,0.064441207,0.499496648,0.720142248,0.055343338,7.826404112,364.8226667,638.1818369,"1","Angiosperm","Open","Open.Angiosperm"
"eup_pur","eup_pur-2",16.45559747,0.074175108,0.586591383,0.444424413,0.138658725,8.070604967,529.2086639,1041.897962,"2","Angiosperm","Open","Open.Angiosperm"
