species,individual,PARi,Photo,Cond,Ci,Trmmol
age_alt,1,0.223697796,-0.08928626,0.030959931,398.4981367,0.31960376
age_alt,1,5.435148716,0.264810106,0.037073074,381.7402833,0.371062677
age_alt,1,10.99771786,0.631352663,0.046892486,370.8379697,0.45187797
age_alt,1,15.27423477,0.91276356,0.063751581,368.7387172,0.591940147
age_alt,1,24.96268082,1.638549669,0.087894769,360.1285191,0.783920081
age_alt,1,49.82904434,2.901621081,0.108615489,344.539554,0.938269365
age_alt,1,99.14963531,4.530804907,0.117981816,321.6555723,1.008623622
age_alt,1,199.9437408,5.972460766,0.126820054,304.0348133,1.114062107
age_alt,1,250.4666138,6.435708828,0.12382815,295.2358861,1.11542177
age_alt,1,301.085968,6.526921239,0.117678158,288.875789,1.093394178
age_alt,1,348.7026367,6.636002512,0.110547148,281.0569422,1.084800002
age_alt,1,400.6417236,6.643213471,0.098824476,269.4103547,1.020111247
age_alt,1,498.9411926,6.645705633,0.087926803,255.9115026,0.972375816
age_alt,1,599.2731934,6.348709705,0.076178975,244.1214124,0.887303115
age_alt,2,0.430918664,-0.06848054,0.020144966,396.9094207,0.240796377
age_alt,2,5.265102386,0.321241015,0.023938364,369.6641379,0.281699288
age_alt,2,10.8170681,0.714389742,0.027214805,348.5307268,0.312736576
age_alt,2,15.21239185,0.969199848,0.033508784,343.8320723,0.376023248
age_alt,2,24.7470665,1.514424567,0.049338364,339.8093892,0.527390799
age_alt,2,51.23928833,2.807829929,0.06380938,315.5466643,0.665952727
age_alt,2,100.2209396,4.026572356,0.076712434,299.1511305,0.783240064
age_alt,2,200.605072,4.949415243,0.090059614,293.0378324,0.908890135
age_alt,2,250.6740417,5.145064993,0.095454223,293.9668065,0.976181991
age_alt,2,300.7639771,5.389697204,0.098877826,292.5179901,1.024196705
age_alt,2,350.1794434,5.51855673,0.099255212,290.3852091,1.048711519
age_alt,2,399.4482422,5.550318778,0.097225375,287.9058369,1.041370101
age_alt,2,499.5058289,5.626286429,0.093233229,282.4416476,1.025011343
age_alt,2,598.7915039,5.534797075,0.087649074,278.1111076,0.985668922
age_alt,3,0.616160989,-0.197598645,0.012159879,415.5867901,0.188071266
age_alt,3,5.224344254,0.274192478,0.014887675,359.9836813,0.218878033
age_alt,3,10.73199368,0.628387682,0.018952205,335.952634,0.275197685
age_alt,3,14.63686085,0.82924193,0.02717215,339.5008029,0.39751957
age_alt,3,24.69613647,1.403238806,0.040300965,331.918162,0.554245287
age_alt,3,51.01687241,2.649121618,0.052918558,305.1922149,0.681498375
age_alt,3,99.05477905,3.745385207,0.068688298,295.7993428,0.843028984
age_alt,3,199.7800293,4.429332514,0.079115763,291.781664,0.938017952
age_alt,3,249.5207977,4.668929855,0.085939149,293.8851867,0.996118528
age_alt,3,299.3622131,4.828462176,0.088743989,293.3718116,1.046134221
age_alt,3,350.5822449,4.953200318,0.088690242,290.7021151,1.069901262
age_alt,3,399.6501465,4.961667262,0.08600291,287.7327621,1.057271942
age_alt,3,499.146637,4.976085043,0.083155359,284.1797678,1.04630387
age_alt,3,600.0950317,4.940899768,0.078316012,279.2508315,1.010608615
age_alt,4,0.415791094,-0.215732656,0.008080039,430.8673656,0.145546501
age_alt,4,6.182732582,0.250019805,0.008837834,343.261281,0.156654464
age_alt,4,10.19999409,0.342748456,0.010235674,334.7350332,0.181526797
age_alt,4,14.6625042,0.685909592,0.012710621,301.7590799,0.224453027
age_alt,4,24.36645126,1.018561832,0.016729967,290.0761335,0.291941842
age_alt,4,50.3009758,2.124019687,0.024222813,245.1315033,0.419926073
age_alt,4,98.54675293,2.954943003,0.030532958,228.8071249,0.532687236
age_alt,4,200.461731,4.125413766,0.044008132,230.7579059,0.746325468
age_alt,4,250.2298279,4.560178858,0.047778012,227.0615241,0.802160247
age_alt,4,299.4197693,4.838128119,0.054276613,234.4997967,0.927671447
age_alt,4,350.7271423,5.103376412,0.058503183,237.1477653,1.000862239
age_alt,4,400.0249329,5.221630907,0.060619784,238.6531311,1.017492297
age_alt,4,501.2365417,5.329805987,0.063358351,241.3035005,1.069514818
age_alt,4,600.6376343,5.582213469,0.068580019,244.6373631,1.201958613
age_alt,4,699.1008911,5.808304247,0.076075199,252.0268591,1.372435306
age_alt,4,799.6408081,5.922771098,0.076416037,250.2032847,1.370454277
age_alt,5,0.344434202,-0.258391981,0.016557624,415.6368257,0.261679243
age_alt,5,6.252198219,0.334653536,0.020613728,363.9322428,0.320102976
age_alt,5,10.37282181,0.574869612,0.025743172,353.7139266,0.399620284
age_alt,5,14.91766834,0.859130007,0.032058528,345.9987225,0.489963695
age_alt,5,24.26638603,1.340836781,0.042253655,337.0036489,0.631392581
age_alt,5,50.61104965,2.292634757,0.052748631,316.0480357,0.76658385
age_alt,5,101.0397797,3.955006512,0.06203086,280.1995042,0.891186869
age_alt,5,200.3388214,4.889227023,0.070201616,268.3939938,1.019114914
age_alt,5,249.8103485,5.216768438,0.072581391,263.9535814,1.072591778
age_alt,5,299.786377,5.33300644,0.07459016,264.1272906,1.104933904
age_alt,5,348.9872437,5.415682971,0.07554694,263.5468317,1.120460056
age_alt,5,399.5065002,5.529139736,0.076512918,262.372234,1.147363078
age_alt,5,500.5915833,5.648035467,0.077531538,260.6744217,1.19272078
age_alt,5,600.0228882,5.707567339,0.077010145,258.2760549,1.223028218
age_alt,5,698.8549805,5.647634602,0.075052909,256.3111082,1.217748396
age_alt,5,800.3096924,5.651886278,0.072724728,252.1927283,1.22104583
ath_fil,1,0.221627489,-0.139106393,0.076573715,395.5290508,0.795139989
ath_fil,1,4.162163734,0.155933871,0.077248747,388.9440134,0.788136152
ath_fil,1,10.84020042,0.561298188,0.078789365,380.0116957,0.796849933
ath_fil,1,14.88909531,0.768094097,0.080126112,375.6446901,0.80378274
ath_fil,1,24.78597641,1.277904146,0.080739484,364.5418648,0.816225464
ath_fil,1,49.38648224,2.158896775,0.082278472,345.9384316,0.827394912
ath_fil,1,100.6996918,3.204146339,0.084385114,324.9013739,0.853466196
ath_fil,1,201.4254913,4.144297093,0.085430106,306.0620504,0.887634999
ath_fil,1,249.7043457,4.061789991,0.08657648,307.6729647,0.921215938
ath_fil,1,300.4444275,4.211327476,0.088000395,305.8153596,0.954139045
ath_fil,1,350.0428162,4.271101819,0.088520517,304.9608037,0.977387639
ath_fil,1,399.8262634,4.297893572,0.08807736,304.0843917,0.977843374
ath_fil,1,500.2962341,4.298223711,0.085009809,301.0168165,0.978575393
ath_fil,2,1.0367558,-0.305165571,0.069637474,398.9887198,0.824224016
ath_fil,2,4.576486111,-0.074401752,0.072266148,393.4379347,0.817388558
ath_fil,2,10.9610815,0.432510105,0.076035352,381.957049,0.84460666
ath_fil,2,15.41107559,0.573884972,0.078513606,379.0875223,0.865974179
ath_fil,2,24.68730927,1.15517212,0.080449651,366.6372918,0.895207478
ath_fil,2,49.43989182,2.361401371,0.084514928,342.7965675,0.941919673
ath_fil,2,100.2698059,4.042081819,0.088171882,311.058807,0.988238531
ath_fil,2,200.8440094,5.633115417,0.090565028,282.0587212,1.033476049
ath_fil,2,251.318634,5.968416915,0.092986606,278.2266691,1.063277832
ath_fil,2,299.5532532,6.254743598,0.095510781,275.5734165,1.084319451
ath_fil,2,350.3821411,6.239073247,0.097603661,278.0194953,1.124859618
ath_fil,2,400.0837402,6.256759503,0.097065188,277.0066421,1.129347548
ath_fil,2,499.7064819,6.517910195,0.097031416,272.2499934,1.149783346
